timestamp,speed_kmh,throttle,brake,steer,weather,rain,fog,num_vehicles,num_pedestrians,camera_view,collision,lane_invasion,pos_x,pos_y,pos_z,yaw
06:55.15,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
06:55.31,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
06:55.47,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
06:55.64,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
06:55.81,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
06:55.98,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
06:56.14,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
06:56.31,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
06:56.47,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
06:56.64,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
06:56.82,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
06:56.99,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
06:57.15,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
06:57.32,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
06:57.48,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
06:57.65,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
06:57.82,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
06:57.98,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
06:58.15,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
06:58.31,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
06:58.48,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
